Probe1(Oxy),CH0,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH32,CH33,CH34,CH35,CH36,CH37,CH38,CH39,CH40,CH41,CH42,CH43,CH44,CH45,CH46,CH47
1,10.064963374645112,21.829514815111096,32.875006131070364,41.62525267108162,37.69277951599781,34.59370167382065,24.76140895762485,17.933266308237464,21.738976708022843,23.804973852757968,31.482823844884486,34.75626564245586,26.323470975322376,23.11115966835444,24.900679848886032,37.16339290523794,55.36361044689258,63.30253793354812,64.3476754296835,56.59282107125671,56.32869291233742,73.91736848786528,69.40836009186764,43.638142300884056,47.28843624934993,59.85341778642744,64.27439081609879,61.63293439807856,54.289552606517084,69.68585673429229,76.86020132069211,60.81872788236324,77.28740836530412,89.59179573284979,82.53588612054739,74.21133914263007,48.99853695215956,31.307594686328212,14.082908335488451,-14.471373706511075,-19.504676858404352,-3.4683277511849955,0.8352396590546056,-8.265413414281081,-23.473862666511774,-24.277251747851846,-24.26983080471495,-26.80743840164768
2,10.200096101761064,22.72169262016808,34.74001917234383,44.03556002172813,41.20875470661046,39.12190431125175,29.331643194998133,22.272970890153026,26.423968646835448,28.664930646156918,37.362913099844796,42.36832478811014,34.53447669838218,29.814700383638964,30.200706270709706,42.731509572118874,60.501253812213584,66.88309567169917,66.89514668993635,61.23165097744436,61.23774762682604,75.80877483156993,70.32128763953426,43.285038114357704,46.23972468375507,58.88616479367646,72.90486163912053,78.21364491181613,66.45919609851794,81.21315817151675,87.66499530363645,68.33400898053168,83.86747985978516,101.22988591082554,96.41914507619128,91.50960899874575,60.35615625916259,24.7142744516291,13.266718562349958,-5.834056291582762,-14.342624758165453,1.1437431988317428,6.768640155200455,-3.4514047141501702,-21.333166718567366,-22.336274684578285,-24.71990937617975,-29.880633761892025
3,9.310415759656777,20.829544612726675,32.95672754074805,42.11341128883025,42.52662475542961,43.29343238223365,32.18239298025084,24.071053063210595,28.316952364811247,30.762077585819284,38.18244741097162,42.03082506692047,34.39810035759566,29.279512965039512,29.73893651981001,40.69529820366006,56.20814428781494,62.88004446288183,62.7205429559578,59.22959151471863,60.639890627066464,73.57148166081925,68.22216366492421,41.45299665874714,42.28693998358159,53.90486152168518,61.83261670816188,62.932406043587136,54.9839775959866,73.82434945662143,83.41428226903841,64.84700247907918,81.75756984584444,100.19322864425997,95.27527475369287,90.9667648194843,68.67198165488358,41.687529910563136,28.987931837132216,7.062355512160501,-3.6746241516841422,8.521752260049471,11.544380164116358,-0.41969842784552114,-20.124285681062055,4.425857539089254,20.07970229518459,3.0204730464890037
4,9.414832642184718,20.62435391309911,30.657671087168445,37.83094784380914,34.997473048601854,34.00608532965977,24.91494718246333,17.83997815734192,23.332082053857455,27.570936459760382,34.48926438695575,39.21838130618933,33.71841386072876,28.168839098462907,28.605311461870006,41.68136248996354,58.64700652677992,63.999272462299416,62.48693742343271,59.24594195982538,60.76933887383935,72.88091926738325,67.20959682208516,40.0949001213154,40.190440902195405,51.222541032675146,59.40982561247265,60.81607431805181,52.93587401892342,72.41451251776459,81.9384472970074,63.05057327349906,79.7683271427723,97.73213117957748,92.35160729074197,87.26477935170132,62.32508310791812,33.714052685228886,16.79133730959768,-7.93965457939839,-15.34998027936959,-1.406100664874676,2.4190573381819904,-8.546759721326188,-27.454688640140315,-24.493321245590842,-23.697170121596187,-31.272374861316624
5,8.094312354626506,17.346236629290154,27.014325633479537,33.541290276954506,27.35794849259241,24.949333297432872,17.40742999859857,11.48204608770516,18.106042039267624,21.894696801317732,28.299569657547863,30.101462782464328,22.03006953961557,18.21623897406661,20.44131790552892,33.271542306008655,49.807278242663244,55.98497697645581,54.79873997727569,52.380274489713926,55.23118037522755,68.08077464557428,63.070589597636626,36.53541607910212,36.79707633053098,47.79995859590289,56.119069934695375,57.82236219060371,49.838409291554285,69.4533064303334,78.96532962181013,59.79219866229718,76.53175358741272,94.70492439380162,89.29427856413093,84.13117532936361,63.79028167755777,39.001545127514646,27.1443103504224,5.205124700329591,-6.249916242128421,27.28009087398476,45.02688236774164,21.954702397807676,-6.439363814064704,-14.184530518365573,-22.28591731102754,-31.850817349768732
6,6.770589700872725,13.824997934817333,22.18397535523114,28.2689757081006,24.439157948986953,23.677303902732447,15.105403941909207,8.469463147629895,14.968136550568605,18.70192217552892,23.287901879109253,24.03734981442132,16.275221083387695,12.45472461412243,15.372069111728429,27.561520531475814,43.31528883708543,49.37143330189172,47.2616918987378,45.9244508422167,50.00729393332359,62.40916478446238,57.41126180086816,31.093999361698806,31.48433649044535,42.64227938087511,51.47915188751596,53.7282526141455,45.64791226215177,65.70643283854896,75.44918887780058,54.9985360111268,70.97451324206429,89.50676415151764,84.19414277591025,78.83419449711685,57.2351529730475,31.91360036690918,19.702305952277797,-3.283673561347328,-15.963106402340898,-5.7912998331264625,-2.9062028056982965,-13.931934995021098,-34.19121227079559,-35.17050205810496,-35.99952527474789,-41.06554041112547
7,5.6988413257407045,10.78084316342792,17.233230208410266,22.577078739557283,15.275984623056829,11.965585517208908,5.299907401312781,-0.28077476019175496,7.515265026677845,12.36150578473401,16.624033038123724,16.02665918686477,8.083890791197843,5.663339321593603,10.025687248416322,23.652264447321265,39.755990549670024,45.87379950976815,44.02977260958058,43.56387724909544,48.37847072123034,59.887909732270145,53.92875990795895,27.764110300102914,29.311052396301463,42.13659263582808,52.36468768851812,55.26713524985036,47.9255184826505,68.91333606347555,77.39123615649648,48.418424205744095,61.06572647809222,84.95841123001229,83.4473263655014,81.19923086279115,60.91480837466609,35.26535220316845,22.825403031369376,0.960516678381385,-10.211664473368668,1.8576701530597712,5.934245753632854,-5.871941740309668,-26.45623937480714,-27.645835934489593,-29.84140105699128,-35.155161764399125
8,7.444751459888486,16.44969010554992,25.848856165240633,32.85882385320792,27.899330868988866,25.75789376518554,18.87148856279555,13.560798311561154,20.86573985787884,26.228292425642554,32.66975246668966,36.89314210220275,32.804072906857414,28.79964645064291,30.233692801306557,42.6885912327279,57.30331777866603,62.49853980840664,60.52696224100261,58.67042741885746,61.02925924407934,70.84078412175518,64.76573774434604,37.8562570311437,37.996937610710184,49.36239841074225,59.257296084936684,61.99358525151551,54.32402176290955,75.53631344837385,86.0633465377709,66.56874509082563,84.18685350596715,103.31452794053304,98.12271247194775,92.84721347400219,70.07151297078374,42.335158583333744,28.650576508417835,6.663028161294136,-4.810920732587336,5.073275922221067,7.334310722338638,-4.1549518327545965,-23.794422958791458,-23.680811534449955,-27.153519025791237,-33.54115783640632
9,8.535395872672401,19.32648520053425,29.72896399703125,36.87490925116894,33.74352141456613,33.24119330438739,25.85783929275648,19.866376678001473,26.492928241412617,32.51576676734883,39.73101184698214,43.68768464114749,39.37299539295971,34.66796943044779,35.589167221236664,47.34848113681241,61.08305277140959,65.9955820899086,63.86115665496141,63.05832430072256,65.55902679104814,74.69466302805307,68.67553502392511,41.22058838978019,40.40717582138523,51.08476954853574,61.09118496478037,63.91683071626166,55.76753318701423,76.95438627524662,87.40138365147878,67.54510948356796,85.23353632854777,104.45507535051361,99.26830917100517,94.21829812673042,71.80920547044256,43.79099538551889,30.35926098681095,9.06577681088579,-1.3667735449409584,11.825793276616167,15.896965646512477,2.5583407098470197,-19.450185183389305,-18.671493011096118,-21.77531744092326,-33.32829895838187
10,7.8012136427190555,17.788789505296382,28.70078760460568,35.780750057468424,32.52420266875242,32.75200010356105,25.312729112655333,18.6072649110591,24.840580455161245,30.877996583052436,38.07242144225653,40.02795337957344,34.14530755263011,30.217907303491785,31.848352269825618,44.62473591637473,60.287990411041456,65.80771918512639,62.9388283772865,61.58167467807382,64.17215846784123,74.7785172435423,70.34889070700966,42.795619356515644,41.573794139132296,52.21858883683432,61.92719973166108,64.7815964242023,56.455468557438145,77.35625320653565,86.84028721977529,73.61778003560292,97.12203926967916,113.6052523612854,106.66818725181543,100.45489700300736,76.89520717888806,47.579316492615156,32.353981324738214,10.041859616928951,-2.1375757193755796,7.612980421466346,9.703416819768435,-5.9480343922177195,-28.6192488074996,-26.775328815342718,-27.385346512945084,-32.211416724288306
