wml_accu,wml_precision,wml_recall,wml_f1,vpl_accu,vpl_precision,vpl_recall,vpl_f1
0.7702546	,0.7692895833	,0.79093437	,0.7747937833	,0.7962962963	,0.79544058	,0.8160635967	,0.7994910833
0.5879630	,0.58890982	,0.5819463667	,0.5847952767	,0.6244212963	,0.6260710567	,0.61462751	,0.6187299867
0.5520833	,0.5540094967	,0.5534070633	,0.5505951333	,0.5373263889	,0.54047237	,0.5383115933	,0.5383582433
0.6701389	,0.64842456	,0.64885287	,0.6519774067	,0.7708333333	,0.7665785467	,0.76829746	,0.7642819533
0.9001736	,0.9003091867	,0.9121215833	,0.8994200067	,0.8133680556	,0.8171234467	,0.8141021433	,0.8138977033
0.5633681	,0.5640429467	,0.59593189	,0.5743948167	,0.5182291667	,0.52133127	,0.6224739433	,0.5080336533
0.6545139	,0.6570370433	,0.6278609333	,0.6209636833	,0.6996527778	,0.7022295433	,0.6984626033	,0.6563354967
0.7855903	,0.78504247	,0.82723647	,0.7903856467	,0.8454861111	,0.84586845	,0.8608197	,0.84400832
0.6449653	,0.6404845667	,0.7024358633	,0.6513142667	,0.6666666667	,0.6687640533	,0.6675303633	,0.6643646
0.8463542	,0.8432954533	,0.8697768567	,0.84863476	,0.8046875	,0.8023863633	,0.8270887833	,0.80344093
