wml_accu,wml_precision,wml_recall,wml_f1,vpl_accu,vpl_precision,vpl_recall,vpl_f1
0.8559028	,0.8594538967	,0.85446619	,0.8560315767	,0.8530092593	,0.8566758533	,0.8515791267	,0.8532147667
0.6221065	,0.5974201867	,0.62079399	,0.60141772	,0.6336805556	,0.6132001633	,0.76815708	,0.61546868
0.6831597	,0.7402964	,0.6799098867	,0.69134945	,0.6909722222	,0.7242499067	,0.6885579667	,0.6955460067
0.6727431	,0.66081616	,0.6821223233	,0.6306254467	,0.6631944444	,0.6510772033	,0.67314422	,0.6244464233
0.8836806	,0.9065484667	,0.8830890433	,0.8835837267	,0.8880208333	,0.90933076	,0.8874634967	,0.8881650667
0.5598958	,0.54336712	,0.5600548767	,0.5356962833	,0.5598958333	,0.55523517	,0.5600544633	,0.5572852033
0.8307292	,0.8644383533	,0.8324742267	,0.81266502	,0.8342013889	,0.8264468785	,0.8359106533	,0.8170927133
0.9036458	,0.9080140333	,0.9037834567	,0.9040739767	,0.9036458333	,0.9080140333	,0.9037834567	,0.9040739767
0.8159722	,0.8331235367	,0.81946652	,0.82425947	,0.8125	,0.8223404667	,0.81788276	,0.8199383067
0.6250000	,0.6144617233	,0.63125	,0.6074958633	,0.6111111111	,0.59758102	,0.6053959981	,0.5872316033
