wml_accu,wml_precision,wml_recall,wml_f1,vpl_accu,vpl_precision,vpl_recall,vpl_f1
0.7909765848	,0.8043119833	,0.7900817233	,0.7851385733	,0.7909766	,0.80464821	,0.7900817233	,0.78521085
0.6225014	,0.60780592	,0.6296920933	,0.6051949433	,0.6413478013	,0.62386849	,0.6479040133	,0.6232587333
0.6349614	,0.6406061633	,0.6335781933	,0.6353982933	,0.6452442159	,0.6523082267	,0.6443020567	,0.6464640433
0.7917738	,0.8050888767	,0.79041822	,0.7886572267	,0.7866323907	,0.8102380933	,0.78426831	,0.7841773867
0.6726650	,0.6802162	,0.6769176933	,0.6588527067	,0.6726649529	,0.6802162	,0.6769176933	,0.812007875
0.4293059	,0.50263924	,0.43069996	,0.45738289	,0.4293059126	,0.50263924	,0.43069996	,0.45738289
0.7249357	,0.7401141833	,0.7267113867	,0.7305871	,0.7120822622	,0.7291313	,0.7137243733	,0.67505186
0.8997429	,0.9191261233	,0.89935498	,0.89806209	,0.9014567266	,0.9208735967	,0.9010776333	,0.90009396
0.6838046	,0.7102908267	,0.6866808533	,0.6947033233	,0.6838046272	,0.7102908267	,0.6866808533	,0.6947033233
0.5578406	,0.48436491	,0.5612794133	,0.4765496433	,0.557840617	,0.48436491	,0.5612794133	,0.4765496433
