Wall time,Step,Value
1629840546.424365,0,3.483175039291382
1629840589.0400863,1,3.2188656330108643
1629840631.5485406,2,2.882913827896118
1629840674.1087506,3,2.496781826019287
1629840716.650623,4,2.1537530422210693
1629840759.2441254,5,1.9277070760726929
1629840802.030966,6,1.7783311605453491
1629840844.8678117,7,1.688293218612671
1629840887.6857321,8,1.6202609539031982
1629840930.6131692,9,1.573304533958435
1629840973.491468,10,1.5420410633087158
1629841016.3971272,11,1.5186333656311035
1629841059.2979484,12,1.5037643909454346
1629841102.175067,13,1.4862422943115234
1629841144.9361203,14,1.4765610694885254
1629841187.7919867,15,1.4656049013137817
1629841230.6540766,16,1.4636272192001343
1629841273.5173693,17,1.4527714252471924
1629841316.45047,18,1.4481598138809204
1629841359.3559954,19,1.4425909519195557
1629841402.2320702,20,1.4417697191238403
1629841445.1061263,21,1.4420984983444214
1629841488.0405133,22,1.4305726289749146
